sentiment,text,translated
positive,"Aspo Plc SIARAN BURSA EFEK 11 Februari 2011 pukul 8.45 pagi ESL Shipping Ltd, bagian dari Aspo Group, telah menandatangani kontrak jangka panjang baru dengan Rautaruukki Corporation untuk pengangkutan bahan mentah melalui laut di Laut Baltik.",True
positive,"Pendapatan komisi meningkat sebesar 22% menjadi EUR 4,4 juta, dan volume pinjaman meningkat sebesar 13,5%.",True
positive,"Pada bulan Januari, lalu lintas, diukur dalam pendapatan penumpang kilometer RPK, naik sebesar 3,2% dan kapasitas, diukur dalam kursi tersedia kilometer ASK, naik sebesar 12,2%.",True
positive,"Pada bulan Januari-September 2010, laba bersih Fiskars naik 14% tahun-ke-tahun menjadi EUR 65,4 juta dan penjualan bersih menjadi EUR 525,3 juta dari EUR 487,7 juta.",True
positive,"Laba bersih dari asuransi jiwa naik menjadi EUR 16,5 juta dari EUR 14,0 juta, dan laba bersih dari asuransi non-jiwa menjadi EUR 22,6 juta dari EUR 15,2 juta pada tahun 2009.",True
positive,Nyrstar juga setuju untuk memasok ke Talvivaara hingga 150.000 ton asam sulfat per tahun untuk digunakan dalam proses pencucian Talvivaara selama periode pasokan seng dalam konsentrat.,True
positive,"Penjualan Divisi Department Store dan Hobby Hall meningkat sebesar 7%, sedangkan penjualan anak perusahaan toko pakaian Seppala mengalami penurunan sebesar 4%.",True
positive,Penjualan meningkat di pasar ekspor lainnya.,True
positive,Penjualan meningkat karena kenaikan harga pasar dan peningkatan operasi.,True
positive,Perjanjian ini memperkuat kemitraan jangka panjang kami dengan Nokia Siemens Networks.,True
positive,"Perjanjian tersebut ditandatangani dengan Biohit Healthcare Ltd, anak perusahaan Biohit Oyj yang berbasis di Inggris, sebuah perusahaan publik Finlandia yang mengembangkan, memproduksi dan memasarkan produk penanganan cairan dan sistem pengujian diagnostik.",True
positive,"Perusahaan juga memperkirakan investasi yang telah dilakukan akan menyebabkan peningkatan penjualan bersih untuk tahun 2010 dari tahun 2009 yang mencapai EUR 141,7 juta.",True
positive,"Buku pesanan perusahaan mencapai 1,5 miliar euro $ 2,2 miliar pada tanggal 30 September 2007, naik 24,2 persen pada tahun tersebut, dengan pesanan internasional sebesar 365 juta euro $ 534,3 juta.",True
positive,"Perusahaan mengatakan bahwa permintaan kertas meningkat di seluruh pasar utamanya, termasuk kertas publikasi, dan harga kertas rata-rata meningkat sebesar 4 persen dibandingkan tahun lalu.",True
positive,"Produsen baja tahan karat terbesar kedua di dunia ini mengatakan laba bersih dalam periode tiga bulan hingga 31 Desember melonjak menjadi euro603 juta US$ 781 juta, atau euro3,33 US$ 4,31 per saham, dari euro172 juta, atau euro0,94 per saham. berbagi, tahun sebelumnya.",True
positive,"Dalam kerangka kemitraan ini, Nokia Siemens Networks telah menandatangani perjanjian pembelian kerangka awal dengan anak perusahaan Sitronics, JSC Mikron, yang merupakan produsen dan pengekspor komponen mikroelektronik terbesar di Rusia.",True
positive,"Pendapatan Seppala meningkat sebesar 0,2% menjadi EUR10,1 juta. Di Finlandia, pendapatan turun sebesar 2,4% menjadi EUR6,8 juta, sementara penjualan di luar negeri naik sebesar 6,2% menjadi EUR3,3 juta. Penjualan meningkat di seluruh negara Baltik serta di Rusia dan Ukraina.",True
positive,"Saham Standard Chartered (STAN) naik 1,2% di FTSE 100, sementara saham Royal Bank of Scotland (RBS) naik 2% dan saham Barclays (BARC) (BCS) naik 1,7%.",True
positive,Saham Nokia Corp naik pada hari Kamis setelah pembuat telepon seluler tersebut mengatakan pendapatan kuartal ketiganya meningkat hampir dua kali lipat dan pangsa pasar ponsel globalnya meningkat.,True
positive,"Dalam laporan keuangannya, yang diterbitkan pada hari Jumat, SEB mengatakan laba bersihnya melonjak menjadi SEK6,745 miliar pada tahun 2010 dari SEK1,114 miliar tahun sebelumnya dan mengusulkan kenaikan dividen 50% menjadi SEK1,50 per saham.",True
positive,Penjualan Divisi Department Store meningkat sebesar 15% dan penjualan toko pakaian anak perusahaan Seppala meningkat sebesar 8% Sedangkan penjualan Hobby Hall mengalami penurunan sebesar 12%.,True
neutral,"Atas permintaan surat kabar perusahaan media Finlandia Alma Media, manajer riset Jari Kaivo-oja di Pusat Penelitian Berjangka Finlandia di Sekolah Ekonomi Turku telah menyusun skenario masa depan perekonomian nasional Finlandia dengan menggunakan model yang dikembangkan oleh Universitas Denver.",True
neutral,"Di Swedia, akumulasi penjualan dalam mata uang SEK Gallerix turun 1% dan penjualan dalam mata uang EUR naik 11%.",True
neutral,Perusahaan ini mendukung pelanggan globalnya dalam mengembangkan teknologi baru dan menawarkan jalur cepat mulai dari pengembangan produk hingga aplikasi dan produksi volume.,True
neutral,"Ketika investasi ini sudah berjalan, Atria berencana melakukan ekspansi ke pasar Moskow.",True
neutral,"`` Perjanjian baru ini merupakan kelanjutan dari perjanjian yang ditandatangani awal tahun ini dengan Lemminkainen Group, dimana Cramo mengakuisisi seluruh armada mesin konstruksi Lemminkainen Talo Oy Ita-ja Pohjois Suomo, dan menandatangani perjanjian serupa,'' kata Tatu Hauhio, direktur pelaksana Cramo Finlandia.",True
positive,"Pada awalnya kontrak tersebut membayangkan pembangunan tiga kapal feri dengan opsi untuk dua unit lagi, yang selanjutnya dikonfirmasi dengan nilai total 500 juta euro ($645,8 juta).",True
neutral,"Pada bulan Juni mereka menjual 30 persen sahamnya kepada Nordstjernan, dan kelompok investasi tersebut kini mengambil opsi untuk mengakuisisi sisa saham EQT.",True
positive,"RILIS BURSA EFEK KESKO CORPORATION 28.02.2008 PUKUL 09.30 1 (1) Kesko Corporation dan Aspo plc hari ini menandatangani perjanjian dimana Aspo mengakuisisi modal saham Kauko-Telko Ltd, anak perusahaan yang sepenuhnya dimiliki oleh Kesko.",True
positive,"Sponda Plc Stock Exchange Rilis 5 Desember 2006 seharga 15,45 EUR 1,5 MILIAR FASILITAS KREDIT SINDIKASI UNTUK SPONDA Sponda telah menandatangani perjanjian fasilitas kredit sindikasi satu tahun dengan jumlah total EUR 1,5 miliar.",True
neutral,PENGUMUMAN BURSA 20 Juli 2006 1 (1) PEMESANAN SAHAM BASWARE DENGAN GARANSI DAN PENAMBAHAN MODAL SAHAM Sebanyak 119.850 saham telah diambil bagian dalam Program Waran BasWare.,True
positive,"Kontrak tersebut mencakup platform HDO, node Fttb optik AC800 dan CXE880 yang dirancang untuk meningkatkan kapasitas jalur maju dan mundur dari jaringan transmisi.",True
neutral,Pembangkit baru tersebut direncanakan memiliki kapasitas pembangkitan listrik hingga 350 megawatt (MW) dan kapasitas pembangkitan panas yang sama.,True
positive,"Indeks OMX Helsinki 25 naik 0,92 persen pada 2,518.67 dan indeks portofolio Helsinki CAP naik 0,91 persen pada 4,711.19.",True
neutral,"– Jadi, pertumbuhan penjualan mobil sangat berpengaruh terhadap pasar ban ''.",True
neutral,Sebanyak-banyaknya 666.104 saham baru dapat diambil lebih lanjut dengan melaksanakan opsi B berdasarkan rencana opsi saham tahun 2004.,True
neutral,"Akibat penerbitan saham tersebut, jumlah saham perusahaan bertambah sebanyak 391.630 lembar dan modal saham bertambah sebanyak EUR 15.665,20.",True
neutral,"Investor real estat Finlandia Sponda Plc mengatakan pada hari Rabu 12 Maret bahwa mereka telah menandatangani perjanjian dengan Danske Bank A-S, Cabang Helsinki untuk fasilitas kredit 7 tahun EUR150 juta dan dengan Ilmarinen Mutual Pension Insurance Company untuk fasilitas kredit 7 tahun EUR50 juta.",True
neutral,"Pada rute antara Helsinki di Finlandia dan Tallinn di Estonia, volume kargo meningkat sebesar 36%, sementara volume kargo antara Finlandia dan Swedia turun sebesar 9%.",True
neutral,"Langkah-langkah lainnya termasuk meningkatkan sinergi dan skala ekonomi dalam Grup Grimaldi dan penyesuaian personel, divestasi dan pengiriman kembali kelebihan tonase.",True
positive,"Rinkuskiai menaikkan penjualan sebesar 18,1 persen menjadi 1,37 juta liter, sedangkan penjualan Kauno Alus tumbuh 14,3 persen menjadi 960.000 liter.",True
neutral,TELECOMWORLDWIRE-7 April 2006-TJ Group Plc menjual saham Morning Digital Design Oy Perusahaan IT Finlandia TJ Group Plc mengatakan pada hari Jumat 7 April bahwa mereka telah menandatangani perjanjian penjualan saham Morning Digital Design Oy kepada Edita Oyj.,True
positive,TELECOMWORLDWIRE-7 April 2006-TJ Group Plc menjual saham Morning Digital Design Oy Perusahaan IT Finlandia TJ Group Plc mengatakan pada hari Jumat 7 April bahwa mereka telah menandatangani perjanjian penjualan saham Morning Digital Design Oy kepada Edita Oyj.,True
neutral,Sebanyak 718.430 saham Seri A baru tersebut akan diperdagangkan pada Daftar Utama Bursa Efek Helsinki bersama dengan saham Seri A lama pada tanggal 3 Juli 2006.,True
neutral,"Kontrak pembelian bahan bakar tersebut telah ditandatangani dengan jangka waktu pengiriman selama tiga bulan, mulai September hingga November ini.",True
neutral,"Tiimari mengoperasikan 194 toko di enam negara -- termasuk pasar intinya di Finlandia -- dan menghasilkan omset sebesar 76,5 juta euro pada tahun 2005 .",True
positive,Berdasarkan perjanjian ini Biohit menjadi pemasok fokus pipettor dan ujung pipettor sekali pakai kepada pelanggan VWR di seluruh Eropa.,True
positive,"Kombinasi dari semua layanan memungkinkan kami untuk menawarkan rantai layanan yang kompleks dan diperkuat tidak hanya terbatas pada koneksi pelabuhan Baltik tetapi juga untuk mendapatkan akses ke Jaringan Grimaldi di seluruh dunia hingga Mediterania, Afrika dan Amerika Utara `` kata Uwe Bakosch.",True
neutral,Tidak ada titik buta yang muncul dari 1 sudut pandang yang memungkinkan penyelidik melihat keseluruhan cerita dalam resolusi tinggi tanpa video yang tidak terputus.,True
positive,"Perusahaan masih memperkirakan omzetnya di tahun 2010 akan sedikit meningkat dari tahun 2009, dan menambahkan bahwa `` prediktabilitas pasar masih terlalu buruk untuk perkiraan yang dapat dipercaya mengenai perkembangan pasar bisnis kontrak manufaktur selama tahun berjalan''.",True
positive,Akuisisi ini akan sangat meningkatkan penjualan dan posisi pasar Kemira di pasar pelapis industri logam Rusia.,True
positive,"Pada bulan Januari-September 2007, penjualan bersih Finnlines naik menjadi EUR 505,4 juta dari EUR 473,5 juta pada periode yang sama tahun 2006.",True
positive,"Disesuaikan dengan perubahan struktur Grup, penjualan bersih Divisi ini meningkat sebesar 1,7%.",True
positive,"`` Perubahan ini akan mengoptimalkan efisiensi operasional bisnis kami yang sedang berkembang,'' kata Julia Prohaska, direktur komunikasi pemasaran Fiskars.",True
positive,"`` Mereka akan berinvestasi tidak hanya pada infrastruktur fisik, namun juga akan memberikan pengetahuan untuk mengelola dan mengembangkan taman sains dan teknologi,'' kata direktur Sunrise Valley, Andrius Bagdonas.",True
positive,"4 Februari 2011 - Penyedia sistem komunikasi data broadband Finlandia Teleste Oyj HEL: TLT1V mengalami lonjakan laba bersih menjadi EUR2,1 juta pada kuartal terakhir tahun 2010 dari EUR995.000 pada periode yang sama tahun 2009.",True
positive,"Laba operasional Grup Aktia Finlandia naik menjadi EUR 17,5 juta pada kuartal pertama tahun 2010 dari EUR 8,2 juta pada kuartal pertama tahun 2009.",True
positive,"Laba operasional bersih konsolidasi Finnish Bank of +_land meningkat dari EUR 4,8 juta pada kuartal pertama tahun 2005 menjadi EUR 6,4 juta pada kuartal pertama tahun 2006.",True
positive,"Grup keuangan Finlandia Aktia melaporkan laba operasional sebesar EUR 44,4 juta pada Januari-September 2009, naik dari EUR 37,3 juta pada periode yang sama tahun 2008.",True
positive,"Penyedia teknologi tinggi asal Finlandia, Vaahto Group, melaporkan penjualan bersih sebesar EUR 41,8 juta pada periode akuntansi September 2007-Februari 2008, meningkat sebesar 11,2% dari tahun sebelumnya.",True
positive,"Penjualan bersih operasi berkelanjutan perusahaan industri makanan Finlandia L+Ã¯Â¿Â½nnen Tehtaat meningkat sebesar 13 % pada tahun 2008 menjadi EUR 349,1 juta dari EUR 309,6 juta pada tahun 2007 .",True
positive,Promosi individu juga menghasilkan pendapatan yang sedikit lebih tinggi dari perkiraan.,True
positive,Biohit sudah melayani banyak pelanggan Genesis saat ini dan basis pelanggan diperkirakan akan berkembang sebagai hasil dari perjanjian ini.,True
positive,"Laba operasional dan omset untuk periode tiga bulan meningkat, masing-masing dari EUR0,9 juta dan EUR8,3 juta, dibandingkan dengan periode yang sama pada tahun 2005.",True
positive,Pendapatan sirkulasi meningkat sebesar 5% di Finlandia dan 4% di Swedia pada tahun 2008.,True
positive,"Penjualan bersih rantai pakaian Sepp+Ã¯Â¿Â½l+Ã¯Â¿Â½ meningkat sebesar 7,0% menjadi EUR 30,8 juta.",True
positive,"Sementara itu, volume konstruksi tumbuh pada tingkat 10-15 persen per tahun.",True
positive,Pasar konstruksi Finlandia dan Swedia diperkirakan masih mengalami pertumbuhan tahunan sebesar 4% pada tahun 2008.,True
positive,"Namun, Biohit memperkirakan total penjualan bersihnya akan terus tumbuh di tahun 2009, dan tren penjualan bersih yang menguntungkan akan menghasilkan keuntungan di tahun 2009.",True
positive,"Pada tahun 2009, arus kas Fiskars dari aktivitas operasi berjumlah EUR121 juta, naik dari EUR97 juta pada tahun sebelumnya.",True
positive,"Di Lithuania, laba operasional naik menjadi EUR 190.000 dari EUR 70.000 pada periode yang sama tahun 2005.",True
positive,"Pada kuartal keempat tahun 2008, penjualan bersih meningkat sebesar 2% menjadi EUR 1,050.7 juta dari EUR 1,027.0 juta pada kuartal keempat tahun 2007.",True
positive,"Penjualan internasional naik 59,8% menjadi EUR 1,244.4 juta.",True
neutral,"Kalmar Espana menghasilkan penjualan bersih sekitar 11,3 juta euro$14,8 juta pada tahun 2005.",True
positive,Penjualan bersih tumbuh pada periode tersebut menjadi x20ac 402 juta $585US juta dari x20ac 401 juta pada tahun 2006 .,True
positive,Penjualan bersih meningkat menjadi EUR655 juta pada bulan April hingga Juni 2010 dari EUR438 juta pada tahun sebelumnya.,True
positive,"Penjualan bersih meningkat sebesar 25,5% dibandingkan tahun lalu menjadi EUR59,6 juta, karena jumlah pengisi daya yang dikirimkan meningkat sebesar 41% menjadi 65,9 juta unit.",True
positive,"Penjualan bersih berjumlah EUR 93,6 juta, naik dari EUR 93,2 juta pada periode yang sama tahun 2005.",True
positive,"Nokia juga mencatat harga jual rata-rata ponsel menurun selama periode tersebut, meskipun margin keuntungan ponselnya naik lebih dari 22 persen dari 13 persen pada kuartal tahun lalu.",True
positive,"Laba operasional meningkat sebesar 145,1% menjadi EUR 8,3 juta dari EUR 3,4 juta.",True
positive,"Margin laba usaha meningkat dari 11,2% menjadi 11,7%.",True
positive,"Laba operasional naik menjadi EUR 3,11 juta dari EUR 1,22 juta pada periode yang sama tahun 2009 .",True
positive,"Laba operasional naik menjadi EUR 5 juta dari EUR 2,8 juta pada kuartal keempat tahun 2008 .",True
positive,"Laba operasional sebesar EUR 24,5 juta, naik dari EUR 23,0 juta.",True
positive,"Penjualan bersih Ramirent pada kuartal kedua yang berakhir 30 Juni adalah EURO 128,7 juta atau sekitar US$ 163 juta, meningkat 3,3 persen dibandingkan dengan EURO 124,6 juta pada kuartal kedua tahun lalu.",True
positive,"Pendapatan tumbuh sebesar 2 persen menjadi x20ac 580 juta $743 juta, dari x20ac 569 juta.",True
positive,Ruukki mengumumkan bahwa mereka telah menandatangani perjanjian dengan Aker Solutions dari Norwegia untuk memasok 24 jangkar hisap pada bulan September 2010 dari unit Kalajoki di Finlandia.,True
positive,"Volume pengiriman dan harga jual Ruukki menunjukkan perkembangan yang menguntungkan dan penjualan bersih perusahaan yang sebanding tumbuh sebesar 50% tahun-ke-tahun menjadi EUR647 juta, kata CEO Sakari Tamminen.",True
positive,Penjualan bersih Majalah Sanoma diperkirakan akan meningkat pada tahun 2006 .,True
positive,Bank tersebut memperkirakan PDB Finlandia akan tumbuh sebesar 2% pada tahun 2010 dan 2011.,True
positive,"Tingkat produksi keseluruhan sirkuit setiap minggunya kini melebihi rata-rata 40.000 ton per hari, dengan volume lebih dari 50.000 ton per hari dicapai setiap harinya.",True
positive,"Laba operasional konsolidasi perusahaan berjumlah EUR 15,86 juta, naik dari EUR 4,14 juta tahun ke tahun.",True
positive,Divisi Department Store melaporkan peningkatan penjualan sebesar 4 persen.,True
positive,"Nilai wajar properti investasi perusahaan tumbuh menjadi EUR 2,803 miliar pada akhir Maret 2009 dari EUR 2,691 juta pada tahun lalu.",True
positive,"Kuartal terakhir merupakan kuartal terbaik tahun 2009 dalam penjualan bersih, dan margin usaha naik menjadi 12,2%.",True
positive,"Pabrik bir besar meningkatkan penjualan bir dalam negeri sebesar 4,5 persen tahun lalu, menjadi 256,88 juta liter dari 245,92 juta liter pada tahun 2004.",True
positive,"Transaksi ini melipatgandakan tenaga kerja Tecnomens, dan menambah seperempat penjualan bersih mereka.",True
positive,"- Laba operasional naik 26,9% menjadi EUR 105,8 (83,4) juta.",True
positive,"`` Setelah pembelian ini, Cramo akan menjadi penyedia layanan persewaan terbesar kedua di pasar Latvia.",True
positive,"`` Prioritas tahun 2009 adalah memperkuat neraca perusahaan dan meningkatkan arus kas,'' kata CEO Hannu Krook.",True
positive,`` Pembelian operasi tersebut merupakan bagian dari strategi YIT untuk memperluas penawaran layanan sistem bangunan secara geografis. '',True
positive,"21 Oktober 2010 - Perusahaan alat penangkapan ikan Finlandia Rapala VMC Corp (HEL: RAP1V) mengatakan hari ini laba bersihnya naik menjadi EUR18,9 juta pada sembilan bulan pertama tahun 2010 dari EUR15,1 juta pada periode yang sama tahun sebelumnya.",True
neutral,"Perangkat lunak BIM (pemodelan informasi bangunan) struktur dari Tekla, penyedia perangkat lunak berbasis model, telah diadopsi untuk manajemen konstruksi dan pelaksanaan proyek universitas di Abu Dhabi.",True
positive,"Menurut Finnish Metso Minerals, nilai pesanan perusahaan telah meningkat hingga EUR 1,9 miliar dalam 12 bulan.",True
positive,Solusi Aldata Finlandia telah menandatangani kontrak pasokan E.O.L.D. sistem ke dua jaringan ritel Perancis.,True
positive,"Bank Finlandia +_land melaporkan laba operasionalnya naik menjadi EUR 21,3 juta pada kuartal kedua tahun 2009 dari EUR 6,1 juta pada periode yang sama tahun 2008.",True
positive,"Laba operasional grup keuangan Finlandia Aktia pada tahun 2009 meningkat menjadi EUR 47,0 juta dari EUR 6,6 juta pada tahun 2008 .",True
positive,"Penjualan bersih produsen mesin kehutanan Finlandia, Ponsse, tumbuh menjadi EUR 51,3 juta pada kuartal pertama tahun 2010 dari EUR 37,5 juta pada periode yang sama tahun 2009.",True
positive,KCI Konecranes asal Finlandia telah menaikkan perkiraan pertumbuhan penjualan bersihnya untuk tahun 2006 dari lebih dari 25% menjadi lebih dari 35%.,True
positive,Okmetic Finlandia yang memproduksi dan memproses wafer silikon untuk industri semikonduktor dan sensor dan perusahaan wafer surya Norwegia NorSun telah menandatangani kontrak di mana Okmetic akan memasok kristal silikon mono NorSun untuk digunakan dalam pembuatan sel surya.,True
positive,Penjualan bersih perusahaan farmasi Finlandia Orion naik menjadi EUR 190 juta pada kuartal pertama tahun 2009 dari EUR 180 juta pada kuartal pertama tahun 2008.,True
positive,"Ponsse Finlandia telah menandatangani perjanjian dengan Babcock Africa untuk distribusi dan dukungan mesin hutan Ponsse, kepala pemanen, dan sistem informasi di Afrika Selatan.",True
positive,Sappi Afrika Selatan akan menjadi perusahaan industri kehutanan asing terbesar yang beroperasi di Finlandia sebagai hasil akuisisi unit Bisnis Kertas Grafis milik Finnish M-real Corporation.,True
positive,Menurut Deputi MD Pekka Silvennoinen tujuannya adalah pergantian ganda selama tiga tahun ke depan.,True
positive,"Menurut HKScan Finlandia, rencananya adalah meningkatkan penjualan bersih J+Ã¯Â¿Â½rvi-Suomen Portti menjadi EUR 80 juta hingga EUR 100 juta.",True
positive,"Pendapatan iklan dan sirkulasi masing-masing tumbuh sebesar 3,4% dan 0,4%.",True
positive,"Setelah pengambilalihan tersebut, Cramo akan menjadi penyedia jasa persewaan terbesar kedua di pasar Latvia.",True
positive,"Sekali lagi, peningkatan penjualan paling signifikan sebesar 18,6% terjadi di Rusia.",True
positive,Alma Media memperkirakan penjualan bersihnya akan meningkat seperti perkiraan sebelumnya.,True
positive,"Laba Lemmink+Ã¯Â¿Â½inen untuk periode akuntansi juga naik menjadi EUR 3,1 juta dari EUR -24,5 juta pada tahun lalu.",True
positive,"Pada akhir Maret 2007, buku pesanan grup berada pada EUR 39,6 juta, naik 42% dari periode yang sama pada tahun 2006.",True
